"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
1999,1550,68,1,0,5.1,325000,0,0,1,0,0,0
1999,7990,101,0,1,9,77000,0,0,0,0,1,0
1999,2000,101,1,1,6.7,248000,0,0,0,0,1,0
1999,2000,75,1,1,6.6,187735,0,0,0,0,1,0
1999,1866,75,1,1,6.4,240000,0,0,0,0,1,0
1999,1999,75,1,1,6.6,180000,0,0,0,0,1,0
1999,1500,75,1,1,6.6,194750,0,0,0,0,1,0
1999,2000,75,1,1,6.6,261410,0,0,0,0,1,0
1999,3200,116,1,1,7.9,194906,0,0,0,0,1,0
1999,1800,75,1,1,6.6,130000,0,1,0,0,0,0
1999,1200,116,1,1,7,266000,0,1,0,0,0,0
1999,2100,75,1,1,6.8,178000,0,1,0,0,0,0
1999,2990,101,0,1,8.8,184782,0,1,0,0,0,0
1999,1700,75,1,1,6.6,135000,0,1,0,0,0,0
1999,1200,75,1,1,6.8,268728,0,1,0,0,0,0
1999,1999,125,1,1,8.9,266600,0,1,0,0,0,0
1999,2690,75,1,1,6.4,117000,0,1,0,0,0,0
1999,1500,75,1,1,6.8,259000,0,1,0,0,0,0
1999,2050,75,1,1,5,192000,0,1,0,0,0,0
1999,2500,75,1,1,6.6,149000,0,1,0,0,0,0
1999,400,75,1,1,6.4,268700,0,1,0,0,0,0
1999,1950,101,1,1,7.7,189950,0,1,0,0,0,0
1999,990,75,1,1,6.8,195000,0,1,0,0,0,0
1999,1550,101,1,1,7.6,205000,0,1,0,0,0,0
1999,2999,101,0,1,8.4,198000,0,1,0,0,0,0
1999,17990,116,0,1,8.2,22800,0,1,0,0,0,0
1999,590,75,1,1,7,238000,0,1,0,0,0,0
2000,3999,75,1,1,6.4,111000,1,0,0,0,0,0
2000,980,75,1,1,6.8,257000,1,0,0,0,0,0
2000,1200,116,1,1,7.9,193999,1,0,0,0,0,0
2000,1500,75,1,1,6.8,232000,1,0,0,0,0,0
2000,4999,90,1,1,8,138110,1,0,0,0,0,0
2000,2500,75,1,1,6.6,188727,1,0,0,0,0,0
2000,1600,102,1,1,8,180524,1,0,0,0,0,0
2000,850,105,1,1,6.9,228844,1,0,0,0,0,0
2000,2650,101,0,1,8.6,182000,1,0,0,0,0,0
2000,3000,105,1,1,6.9,160000,1,0,0,0,0,0
2000,2250,75,1,1,6.8,250000,1,0,0,0,0,0
2000,3450,101,0,1,8.6,150000,1,0,0,0,0,0
2000,7399,116,0,1,7.9,77160,1,0,0,0,0,0
2000,3650,116,1,1,7.9,209700,1,0,0,0,0,0
2000,2500,105,1,1,6.9,223654,1,0,0,0,0,0
2000,1490,75,1,1,6.6,190584,1,0,0,0,0,0
2000,2000,75,1,1,6.6,275000,1,0,0,0,0,0
