"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2007,5399,131,0,0,7.1,180000,0,0,0,1,0,0
2007,2390,140,1,0,5.9,300000,0,0,0,1,0,0
2007,4750,145,1,1,8.1,256000,0,0,0,1,0,0
2007,2100,140,1,0,5.9,280000,0,0,0,0,1,0
2007,2400,140,1,0,5.3,330000,0,0,0,0,1,0
2007,7777,145,1,1,7.9,158000,0,0,0,0,1,0
2007,3500,131,1,0,5.9,203000,0,1,0,0,0,0
2007,7750,160,0,1,9.3,122500,0,1,0,0,0,0
2007,4290,145,1,1,7.8,165210,0,1,0,0,0,0
2007,4800,131,0,0,5.9,213000,0,1,0,0,0,0
2007,4500,140,1,0,5.3,249000,0,1,0,0,0,0
2007,5599,110,1,1,7.2,65950,0,1,0,0,0,0
2007,3800,145,1,1,7.9,191350,0,1,0,0,0,0
2008,8998,145,1,1,7.8,100000,1,0,0,0,0,0
2008,6990,145,1,1,7.9,97000,1,0,0,0,0,0
2008,5950,160,0,1,9.3,203429,0,0,0,1,0,0
2008,10990,140,0,0,5.6,62007,0,0,0,1,0,0
2008,3699,125,1,1,7.4,156578,0,0,0,1,0,0
2008,6990,125,1,1,7.4,109453,0,0,0,1,0,0
2008,5000,116,1,0,5.3,271000,0,0,0,1,0,0
2008,4750,140,1,0,5.6,240000,0,0,0,1,0,0
2008,2399,125,1,1,7.4,276147,0,0,0,1,0,0
2008,6199,175,1,0,8,203000,0,0,0,0,1,0
2008,4499,140,1,0,5.9,202451,0,0,0,0,1,0
2008,4295,160,0,1,9.3,137411,0,0,0,0,1,0
2008,3700,160,0,1,9.3,240500,0,0,0,0,1,0
2008,4950,175,1,0,6.2,229400,0,0,0,0,1,0
2008,3999,140,1,0,5.9,348000,0,0,0,0,1,0
2008,2999,140,1,0,5.3,285000,0,0,0,0,1,0
2008,4100,125,1,1,7.2,223000,0,0,0,0,1,0
2008,4400,125,1,1,7.9,182000,0,0,0,0,1,0
2008,3999,140,0,0,5.9,341000,0,0,0,0,1,0
2008,6100,220,1,1,9.3,184000,0,0,0,0,1,0
2008,2000,131,1,0,5.9,282211,0,0,0,0,1,0
2008,6490,140,0,0,7,199000,0,0,0,0,1,0
2008,4000,131,0,0,7.1,213335,0,0,0,0,1,0
2008,3450,140,1,0,5.9,288620,0,0,0,0,1,0
2008,5900,145,1,1,7.8,198000,0,0,0,0,1,0
2008,10990,145,1,1,7.8,119466,0,0,0,0,1,0
2008,2990,140,1,0,5.9,277000,0,1,0,0,0,0
2008,4650,116,1,0,6,287000,0,1,0,0,0,0
2008,6500,160,0,1,9.3,131000,0,1,0,0,0,0
2008,5000,131,0,0,7.1,230604,0,1,0,0,0,0
2008,16900,220,1,1,9.3,71230,0,1,0,0,0,0
2008,1490,160,0,1,9.3,79644,0,1,0,0,0,0
