"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2009,7790,140,0,0,7.1,300000,0,0,0,1,0,0
2009,11300,170,1,0,6.3,144200,0,0,0,1,0,0
2009,7990,150,1,1,7.4,143000,0,0,0,1,0,0
2009,7990,140,0,0,7.1,178000,0,0,0,1,0,0
2009,11000,150,1,1,7.4,131000,0,0,0,1,0,0
2009,6499,140,1,0,5.3,244000,0,0,0,1,0,0
2009,14000,140,0,0,7.1,188000,0,0,0,0,1,0
2009,11500,140,0,0,7.1,129859,0,0,0,0,1,0
2009,9999,170,1,0,7,200000,0,0,0,0,1,0
2009,7730,170,1,0,6.3,188050,0,0,0,0,1,0
2009,11500,140,0,0,7.1,131000,0,0,0,0,1,0
2009,6700,150,1,1,7.4,147000,0,0,0,0,1,0
2009,6999,150,1,1,8,166000,0,0,0,0,1,0
2009,10800,200,0,1,9.9,157187,0,0,0,0,1,0
2009,10990,170,1,0,6.3,137900,0,0,0,0,1,0
2009,12990,140,0,0,7.5,65000,0,0,0,0,1,0
2009,11490,140,0,0,7.1,134000,0,0,0,0,1,0
2009,5690,150,1,1,7.4,167000,0,0,0,0,1,0
2009,6400,170,1,0,7,320000,0,0,0,0,1,0
2009,10900,150,1,1,8,134900,0,0,0,0,1,0
2009,5899,150,1,1,7.4,224650,0,0,0,0,1,0
2009,9500,150,1,1,8,116210,0,0,0,0,1,0
2009,8200,170,1,1,8.5,181000,0,0,0,0,1,0
2009,9490,140,0,0,7.4,212000,0,0,0,0,1,0
2009,4980,200,1,1,8.9,169600,0,0,0,0,1,0
2009,3500,200,1,1,8.9,210000,0,0,0,0,1,0
2009,13400,170,1,0,7,97000,0,0,0,0,1,0
2009,9900,170,0,1,9.9,160000,0,0,0,0,1,0
2009,11890,170,0,1,9.9,130000,0,0,0,0,1,0
2009,12150,140,0,0,7.5,174992,0,0,0,0,1,0
2009,8800,150,1,1,7.4,139000,0,0,0,0,1,0
2009,7900,170,1,1,8.5,180000,0,0,0,0,1,0
2009,13990,200,0,1,9.9,110000,0,0,0,0,1,0
2009,6785,170,1,1,8.9,181973,0,0,0,0,1,0
2009,10899,170,1,1,8.9,126000,0,0,0,0,1,0
2009,8500,150,1,1,7.4,166000,0,0,0,0,1,0
2009,12990,170,1,0,7,165000,0,0,0,0,1,0
2009,9850,170,0,1,9.9,149990,0,0,0,0,1,0
2009,9990,150,1,1,7.4,106000,0,0,0,0,1,0
2009,9990,150,1,1,8,134000,0,0,0,0,1,0
2009,6990,150,1,1,8,240500,0,0,0,0,1,0
2009,9500,140,0,0,7.1,150400,0,0,0,0,1,0
2009,10500,140,0,0,7.1,186000,0,0,0,0,1,0
2009,8300,140,1,0,6.3,192000,0,0,0,0,1,0
2009,11344,170,0,1,9.9,176333,0,1,0,0,0,0
2009,11777,170,0,1,8.5,107000,0,1,0,0,0,0
2009,8999,140,0,0,7.1,140500,0,1,0,0,0,0
2009,11990,200,0,1,9.9,119000,0,1,0,0,0,0
2009,12999,150,1,1,8,49000,0,1,0,0,0,0
2009,10490,150,1,1,7.4,147000,0,1,0,0,0,0
2009,11199,140,0,0,7.5,135246,0,1,0,0,0,0
2009,10999,150,1,1,8,47764,0,1,0,0,0,0
2009,8150,140,1,0,5.9,175000,0,1,0,0,0,0
2009,10900,170,0,1,9.9,112000,0,1,0,0,0,0
2009,8900,150,1,1,8.4,191000,0,1,0,0,0,0
2009,9000,140,1,0,5.9,178000,0,1,0,0,0,0
2009,8990,140,1,0,6.9,170000,0,1,0,0,0,0
2009,8999,140,1,0,6.4,158646,0,1,0,0,0,0
2009,10000,140,0,0,7.1,190000,0,1,0,0,0,0
2009,10500,150,1,1,8,114000,0,1,0,0,0,0
2009,6500,140,1,0,6.3,220000,0,1,0,0,0,0
2009,5700,150,1,1,7.4,204000,0,1,0,0,0,0
2009,11500,140,1,0,6.3,119200,0,1,0,0,0,0
2009,6900,150,1,1,8,194000,0,0,0,0,0,1
2009,11490,140,1,0,5.9,64650,0,0,0,0,0,1
2009,8500,140,1,0,6.1,177000,0,0,0,0,0,1
2009,8990,170,0,1,9.9,151730,0,0,0,0,0,1
2009,13500,170,1,0,6.3,155000,0,0,0,0,0,1
2009,8990,200,1,1,8.5,136880,0,0,0,0,0,1
2009,8999,140,1,0,6.9,172000,0,0,0,0,0,1
2009,11000,140,0,0,6.3,134056,0,0,0,0,0,1
2009,8990,150,1,1,8,128500,0,0,0,0,0,1
2009,12990,170,0,1,9.9,125000,0,0,0,0,0,1
2009,12999,140,0,0,7.5,135400,0,0,0,0,0,1
2009,9925,150,1,1,8,125000,0,0,0,0,0,1
2009,9980,140,1,0,6.9,162834,0,0,0,0,0,1
2009,10480,170,1,0,7,218187,0,0,0,0,0,1
2009,7500,170,1,0,6.3,263000,0,0,0,0,0,1
2009,11900,170,1,0,6.3,175000,0,0,0,0,0,1
2009,8890,150,1,1,8.4,175100,0,0,0,0,0,1
2009,8750,150,1,1,7.4,135500,0,0,0,0,0,1
2009,9500,150,1,1,8.4,153150,0,0,0,0,0,1
2009,6690,170,1,1,8.9,199200,0,0,0,0,0,1
2009,7700,140,0,0,7.1,199900,0,0,0,0,0,1
2010,6590,150,1,1,6.7,120292,1,0,0,0,0,0
2010,4300,200,1,1,8.5,177500,1,0,0,0,0,0
2010,8980,170,0,1,8.6,195969,1,0,0,0,0,0
2010,16990,170,0,1,8.6,80000,1,0,0,0,0,0
2010,10900,150,1,1,6.7,56631,0,0,0,1,0,0
2010,10450,140,1,0,5.3,103500,0,0,0,1,0,0
2010,9490,150,1,1,6.7,134143,0,0,0,1,0,0
2010,12990,170,1,0,7,116000,0,0,0,1,0,0
2010,9490,150,1,1,6.7,156000,0,0,0,1,0,0
2010,6800,150,1,1,6.7,119000,0,0,0,1,0,0
2010,8990,150,1,1,6.7,137000,0,0,0,1,0,0
2010,14900,140,0,0,6.4,139500,0,0,0,1,0,0
2010,9050,150,1,1,8,135090,0,0,0,1,0,0
2010,4999,122,1,1,6.5,269000,0,0,0,1,0,0
2010,14990,200,0,1,9.9,107800,0,0,0,0,1,0
2010,8785,150,1,1,6.7,102610,0,0,0,0,1,0
2010,7199,150,1,1,8,172444,0,0,0,0,1,0
2010,8650,150,1,1,8,152000,0,0,0,0,1,0
2010,10800,170,1,0,6.3,179000,0,0,0,0,1,0
2010,5990,150,1,1,6.7,157000,0,0,0,0,1,0
2010,5999,150,1,1,8,150000,0,0,0,0,1,0
