"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2004,1500,68,1,0,4.6,2580000,0,0,0,0,1,0
2004,1700,60,1,1,6.2,224000,0,0,0,0,1,0
2004,250,80,1,1,6.5,221710,0,1,0,0,0,0
2004,2250,60,1,1,6.2,158500,0,1,0,0,0,0
2004,2650,69,1,1,6.2,58900,0,1,0,0,0,0
2004,2299,80,1,1,6.5,136000,0,1,0,0,0,0
2004,1550,69,1,1,6.5,170000,0,1,0,0,0,0
2004,2799,69,1,1,6.2,115000,0,1,0,0,0,0
2004,2380,69,1,1,6.5,159997,0,1,0,0,0,0
2004,2499,60,1,1,6.5,103637,0,1,0,0,0,0
2004,499,60,1,1,6.5,125121,0,1,0,0,0,0
2004,2450,80,1,1,6.5,128100,0,1,0,0,0,0
2004,1500,80,1,1,6.5,185500,0,1,0,0,0,0
2004,1400,80,1,1,6.5,176266,0,1,0,0,0,0
2004,2299,60,1,1,6.2,155477,0,1,0,0,0,0
2004,1799,60,1,1,6.2,224000,0,1,0,0,0,0
2004,1450,60,1,1,6.5,259960,0,1,0,0,0,0
2004,2499,69,1,1,6.5,126000,0,1,0,0,0,0
2004,999,60,1,1,7.8,204682,0,1,0,0,0,0
2004,1890,69,1,1,6.5,125000,0,1,0,0,0,0
2004,2900,69,1,1,5.5,75000,0,1,0,0,0,0
2004,999,69,1,1,6.5,266000,0,1,0,0,0,0
2004,1500,101,1,1,6.6,208000,0,1,0,0,0,0
2004,2000,60,1,1,6.5,118800,0,1,0,0,0,0
2004,2700,80,1,1,6.5,92170,0,1,0,0,0,0
2004,1799,68,1,0,4.7,131421,0,1,0,0,0,0
2004,1400,69,1,1,6.2,177450,0,1,0,0,0,0
2004,2990,80,1,1,6.5,131600,0,1,0,0,0,0
2004,2600,69,1,1,6.2,86700,0,1,0,0,0,0
2005,1800,60,1,1,6.2,117686,1,0,0,0,0,0
2005,1999,80,1,1,6.4,152000,1,0,0,0,0,0
2005,6990,80,1,1,7,32200,1,0,0,0,0,0
2005,2489,60,1,1,6.2,106000,1,0,0,0,0,0
2005,1800,69,1,1,6.2,160000,1,0,0,0,0,0
