"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white","k_group"
2004,1800,116,1,1,7.5,230000,0,0,0,1,0,0,1
2004,1300,125,1,1,7.1,147000,0,0,0,0,1,0,3
2004,2600,116,1,1,6.4,186000,0,0,0,0,1,0,1
2004,1670,101,1,1,7.3,197852,0,0,0,0,1,0,1
2004,3999,116,1,0,5.5,320599,0,0,0,0,1,0,1
2004,2399,101,0,1,8.3,164129,0,1,0,0,0,0,3
2004,1290,101,1,1,6.9,250000,0,1,0,0,0,0,1
2004,1699,101,1,1,6.8,197000,0,1,0,0,0,0,1
2004,3990,125,1,1,7.1,153000,0,1,0,0,0,0,3
2004,1200,116,1,1,7.5,191000,0,1,0,0,0,0,1
2004,1999,116,1,1,6.4,122500,0,1,0,0,0,0,3
2004,750,75,1,1,6.6,230000,0,1,0,0,0,0,1
2004,2999,101,1,1,7.3,137000,0,1,0,0,0,0,3
2004,3399,101,1,1,6.8,115000,0,1,0,0,0,0,3
2004,1470,116,1,1,7.9,204700,0,1,0,0,0,0,1
2004,3200,75,1,1,6.6,139743,0,1,0,0,0,0,3
2004,3490,75,1,1,7,109457,0,1,0,0,0,0,3
2004,800,101,1,1,6.8,160000,0,1,0,0,0,0,3
2004,350,116,1,1,7.6,194000,0,1,0,0,0,0,1
2004,5990,120,1,1,7.2,76100,0,1,0,0,0,0,2
2004,2650,101,0,1,8.4,199990,0,1,0,0,0,0,1
2004,4999,116,1,1,7.6,81000,0,1,0,0,0,0,3
2004,3999,120,1,1,7.2,152327,0,1,0,0,0,0,3
2005,4799,116,1,1,6.4,104000,1,0,0,0,0,0,3
2005,1590,116,1,1,6.4,246000,1,0,0,0,0,0,1
2005,1250,116,1,1,6.4,217000,1,0,0,0,0,0,1
2005,1599,80,1,1,6.6,156823,1,0,0,0,0,0,3
2005,2500,145,1,1,7.1,217000,1,0,0,0,0,0,1
2005,1700,116,1,1,6.6,257000,1,0,0,0,0,0,1
2005,1100,116,1,1,6.6,312000,1,0,0,0,0,0,1
2005,4000,80,1,1,6.6,95000,1,0,0,0,0,0,3
2005,2200,90,1,0,4.7,2005002,1,0,0,0,0,0,1
2005,3490,116,1,1,6.8,124990,1,0,0,0,0,0,3
2005,1200,145,1,1,7.1,251000,1,0,0,0,0,0,1
2005,3690,109,1,0,4.9,116000,1,0,0,0,0,0,3
2005,1600,116,1,1,6.4,182286,1,0,0,0,0,0,1
2005,2499,116,1,1,6.6,232000,1,0,0,0,0,0,1
2005,2600,109,1,0,4.8,220000,1,0,0,0,0,0,1
2005,1590,101,1,1,6.4,174000,1,0,0,0,0,0,3
2005,2050,101,1,1,6.4,172800,1,0,0,0,0,0,3
2005,1990,116,1,1,6.4,123848,1,0,0,0,0,0,3
2005,1600,101,1,1,6.7,198000,1,0,0,0,0,0,1
2005,3500,101,1,1,6.7,65000,1,0,0,0,0,0,2
2005,3650,101,0,1,7.7,192000,0,0,0,1,0,0,1
2005,2750,75,1,1,6.6,164000,0,0,0,1,0,0,3
2005,2600,116,1,1,6.6,206000,0,0,0,1,0,0,1
2005,2000,90,1,0,4.7,185400,0,0,0,0,1,0,1
2005,2400,101,1,1,6.4,171850,0,0,0,0,1,0,3
2005,3890,116,1,1,6.6,136000,0,0,0,0,1,0,3
2005,3700,101,0,1,7.7,150000,0,0,0,0,1,0,3
2005,1180,101,1,1,6.4,211000,0,0,0,0,1,0,1
2005,1990,150,1,0,5.3,230531,0,0,0,0,1,0,1
2005,1800,101,1,1,6.8,222000,0,0,0,0,1,0,1
2005,1799,116,1,1,6.4,289084,0,1,0,0,0,0,1
2005,1190,101,1,1,6.4,180000,0,1,0,0,0,0,1
2005,3500,101,0,1,6.7,170000,0,1,0,0,0,0,3
2005,5999,101,0,1,5.8,145000,0,1,0,0,0,0,3
2005,2000,109,1,0,4.8,160000,0,1,0,0,0,0,3
2005,3500,101,1,1,6.7,125321,0,1,0,0,0,0,3
2005,999,101,1,1,6.7,197200,0,1,0,0,0,0,1
2005,1250,101,1,1,6.4,194213,0,1,0,0,0,0,1
2005,4300,116,1,1,6.7,95000,0,1,0,0,0,0,3
2005,4800,101,0,1,7.7,108000,0,1,0,0,0,0,3
2005,1599,101,1,1,6.7,271295,0,1,0,0,0,0,1
2005,3950,101,1,1,6.4,166042,0,1,0,0,0,0,3
2005,4499,101,1,1,6.7,108000,0,1,0,0,0,0,3
2005,750,90,1,0,4.7,142000,0,1,0,0,0,0,3
2005,3990,101,1,1,6.7,158000,0,1,0,0,0,0,3
2005,1299,101,1,1,6.7,201358,0,1,0,0,0,0,1
2005,3950,109,1,0,4.8,205000,0,1,0,0,0,0,1
2005,6990,101,1,1,6.7,60000,0,1,0,0,0,0,2
2005,4190,101,0,1,8.4,118000,0,1,0,0,0,0,3
2005,2999,101,1,1,7.3,99000,0,1,0,0,0,0,3
2005,7990,101,0,1,7.4,55454,0,1,0,0,0,0,2
2005,4800,116,1,1,6.6,57980,0,1,0,0,0,0,2
2005,2750,101,1,1,6.7,150000,0,1,0,0,0,0,3
2005,1000,101,1,1,6.4,273000,0,1,0,0,0,0,1
2005,2200,116,1,1,7.5,278889,0,1,0,0,0,0,1
2005,3000,90,1,0,4.7,154000,0,1,0,0,0,0,3
2005,1795,116,1,0,5.2,229270,0,1,0,0,0,0,1
2005,1980,101,1,1,6.4,197685,0,1,0,0,0,0,1
2005,3990,101,1,1,6.9,158000,0,1,0,0,0,0,3
2005,1900,116,1,1,6.4,240472,0,1,0,0,0,0,1
2005,3700,101,1,1,6.7,173255,0,1,0,0,0,0,3
2005,4695,101,0,1,6.7,237000,0,1,0,0,0,0,1
2005,1800,101,1,1,6.4,419000,0,1,0,0,0,0,1
2005,2790,101,1,1,6.7,188100,0,1,0,0,0,0,1
2005,999,109,1,0,4.8,192000,0,1,0,0,0,0,1
2005,999,101,1,1,6.7,307000,0,1,0,0,0,0,1
2005,750,109,1,0,4.8,200000,0,1,0,0,0,0,1
2005,1999,101,1,1,6.7,151200,0,1,0,0,0,0,3
2006,1300,80,1,1,6.6,239855,1,0,0,0,0,0,1
2006,3990,116,1,1,6.8,161466,1,0,0,0,0,0,3
2006,2200,101,1,1,6.7,204865,1,0,0,0,0,0,1
2006,650,109,1,0,4.8,209000,1,0,0,0,0,0,1
2006,1999,116,1,1,6.6,190000,1,0,0,0,0,0,1
2006,1190,90,1,0,4.7,265117,1,0,0,0,0,0,1
2006,3200,80,1,1,6.6,78560,1,0,0,0,0,0,2
2006,1900,116,1,0,5.2,217500,1,0,0,0,0,0,1
2006,2499,101,1,1,6.7,189000,1,0,0,0,0,0,1
2006,600,226,1,1,9.3,175000,1,0,0,0,0,0,3
2006,3500,145,1,1,8,110000,1,0,0,0,0,0,3
2006,2950,101,1,1,6.7,83111,1,0,0,0,0,0,3
2006,3550,101,1,1,6.5,216000,1,0,0,0,0,0,1
2006,3700,116,1,1,6.6,168900,1,0,0,0,0,0,3
2006,1550,101,1,1,6.7,162355,1,0,0,0,0,0,3
2006,2900,101,1,1,6.7,170000,1,0,0,0,0,0,3
2006,2300,101,1,1,7.7,192000,1,0,0,0,0,0,1
2006,4490,80,1,1,6.6,133500,1,0,0,0,0,0,3
2006,2990,101,1,1,6.7,168500,0,0,0,1,0,0,3
2006,2699,101,1,1,6.7,220000,0,0,0,1,0,0,1
2006,3800,116,1,1,6.4,112614,0,0,0,1,0,0,3
2006,2180,116,1,1,6.6,233189,0,0,0,1,0,0,1
2006,2250,116,1,1,6.6,228000,0,0,0,1,0,0,1
2006,2990,90,1,0,4.7,180000,0,0,0,1,0,0,1
2006,4799,116,1,1,6.6,180000,0,0,0,1,0,0,1
2006,1950,80,1,1,6.6,192000,0,0,0,1,0,0,1
2006,3999,125,1,1,7,159000,0,0,0,0,1,0,3
2006,3950,101,1,1,6.7,127406,0,0,0,0,1,0,3
2006,3600,145,1,1,7.1,152000,0,0,0,0,1,0,3
2006,11000,226,1,1,9.3,145000,0,0,0,0,1,0,3
2006,3350,109,1,0,4.8,184000,0,0,0,0,1,0,1
2006,4999,109,1,0,4.8,211569,0,0,0,0,1,0,1
2006,2300,116,1,1,6.6,245000,0,0,0,0,1,0,1
2006,6490,101,1,1,6.7,46000,0,0,0,0,1,0,2
2006,1990,101,1,1,6.7,127770,0,0,0,0,1,0,3
2006,2499,136,1,0,5.7,256267,0,0,0,0,1,0,1
2006,1999,145,1,1,7,115000,0,0,0,0,1,0,3
2006,1450,109,1,0,4.8,270000,0,1,0,0,0,0,1
2006,990,101,1,1,6.7,233999,0,1,0,0,0,0,1
2006,5950,101,0,1,7.7,99600,0,1,0,0,0,0,3
2006,3200,101,1,1,6.9,151400,0,1,0,0,0,0,3
2006,4490,101,1,1,6.7,81000,0,1,0,0,0,0,3
2006,1540,136,1,0,5.6,310000,0,1,0,0,0,0,1
2006,7500,226,1,1,9.3,180880,0,1,0,0,0,0,1
2006,3300,101,1,1,6.7,145000,0,1,0,0,0,0,3
2006,4150,101,1,1,6.2,136500,0,1,0,0,0,0,3
2006,5999,145,0,1,8.1,137543,0,1,0,0,0,0,3
2006,3950,101,1,1,6.1,128000,0,1,0,0,0,0,3
2006,1150,116,1,1,6.4,207000,0,1,0,0,0,0,1
2006,3999,101,1,1,6.7,127000,0,1,0,0,0,0,3
2006,4990,101,1,1,6.7,97971,0,1,0,0,0,0,3
2006,3499,116,1,1,6.6,149000,0,1,0,0,0,0,3
2006,4499,116,1,1,6.4,136000,0,1,0,0,0,0,3
2006,5950,125,0,1,7.7,100000,0,1,0,0,0,0,3
2006,3490,101,1,1,6.7,161000,0,1,0,0,0,0,3
2006,1900,116,1,1,6.4,184720,0,1,0,0,0,0,1
2006,3990,116,1,1,6.4,87000,0,1,0,0,0,0,3
2006,3399,101,1,1,6.4,157150,0,1,0,0,0,0,3
2006,500,136,1,0,5.7,408000,0,1,0,0,0,0,1
2006,4480,125,1,1,7.1,129000,0,1,0,0,0,0,3
2006,3999,125,1,1,7.1,170000,0,1,0,0,0,0,3
2006,1600,116,1,1,6.6,164513,0,1,0,0,0,0,3
2006,3499,136,1,0,5.7,272000,0,1,0,0,0,0,1
2006,5799,116,1,1,6.6,130234,0,1,0,0,0,0,3
2006,1500,116,1,0,5.2,235500,0,1,0,0,0,0,1
2006,3999,101,1,1,6.4,187000,0,1,0,0,0,0,1
2006,2250,125,1,1,7,196555,0,1,0,0,0,0,1
2006,1500,101,1,1,6.7,175000,0,1,0,0,0,0,3
2006,5400,116,1,1,6.4,133520,0,1,0,0,0,0,3
2006,1500,116,1,0,5.2,209839,0,1,0,0,0,0,1
2006,1990,125,0,1,7.7,163400,0,1,0,0,0,0,3
2006,3250,90,1,0,4.7,210000,0,1,0,0,0,0,1
2006,2250,101,1,1,6.4,247776,0,1,0,0,0,0,1
2006,4199,80,1,1,6.6,121000,0,1,0,0,0,0,3
2006,3950,101,1,1,6.4,90000,0,1,0,0,0,0,3
2006,2999,136,1,0,5.6,186000,0,0,0,0,0,1,1
2007,1249,109,1,0,4.5,266298,1,0,0,0,0,0,1
2007,2200,136,1,0,5.7,295000,1,0,0,0,0,0,1
2007,1200,80,1,1,6.6,264293,1,0,0,0,0,0,1
2007,11000,101,1,1,6.7,130000,1,0,0,0,0,0,3
2007,3150,136,1,0,5.7,205000,1,0,0,0,0,0,1
2007,2999,101,1,1,6.8,166512,1,0,0,0,0,0,3
2007,3400,101,1,1,6.7,161000,1,0,0,0,0,0,3
2007,4000,109,1,0,4.8,160000,1,0,0,0,0,0,3
2007,1800,101,1,1,6.7,302000,1,0,0,0,0,0,1
2007,3900,80,1,1,6.6,135000,1,0,0,0,0,0,3
2007,3990,101,1,1,6.7,174055,1,0,0,0,0,0,3
2007,2700,101,1,1,6.7,220000,1,0,0,0,0,0,1
2007,1000,125,1,1,7,274000,1,0,0,0,0,0,1
2007,2499,101,1,1,6.7,189850,1,0,0,0,0,0,1
2007,3650,80,1,1,6.6,141000,1,0,0,0,0,0,3
2007,799,109,1,0,4.8,297722,1,0,0,0,0,0,1
2007,3200,80,1,1,6.6,140000,1,0,0,0,0,0,3
2007,5950,101,1,1,7.1,90000,1,0,0,0,0,0,3
2007,2749,101,1,1,6.7,221000,0,0,0,1,0,0,1
2007,3000,101,1,1,6.7,171000,0,0,0,1,0,0,3
2007,3398,101,1,1,6.7,233900,0,0,0,1,0,0,1
2007,2800,109,1,0,5,224723,0,0,0,0,1,0,1
2007,3000,109,1,0,4.8,324938,0,0,0,0,1,0,1
2007,2900,101,1,1,6.7,198000,0,0,0,0,1,0,1
2007,3840,136,1,0,5.7,192000,0,0,0,0,1,0,1
2007,2800,116,1,1,6.6,199600,0,0,0,0,1,0,1
2007,3300,125,1,1,7.1,195000,0,0,0,0,1,0,1
2007,3600,80,1,1,6.6,153601,0,0,0,0,1,0,3
2007,3500,101,1,1,10,157000,0,0,0,0,1,0,3
2007,2950,125,1,1,7,184000,0,0,0,0,1,0,1
2007,2000,109,1,0,4.8,169850,0,1,0,0,0,0,3
2007,4000,109,1,0,4.8,158000,0,1,0,0,0,0,3
2007,2999,109,1,0,4.8,279500,0,1,0,0,0,0,1
2007,4999,101,1,1,7.7,67664,0,1,0,0,0,0,2
2007,1500,125,1,1,7,144000,0,1,0,0,0,0,3
2007,1000,109,1,0,4.8,312000,0,1,0,0,0,0,1
2007,1250,109,1,0,4.5,170000,0,1,0,0,0,0,3
2007,3000,101,1,1,6.7,176000,0,1,0,0,0,0,3
2007,2699,101,1,1,6.7,194950,0,1,0,0,0,0,1
2007,3490,101,1,1,6.7,179988,0,1,0,0,0,0,1
2007,1990,109,1,0,4.8,369121,0,1,0,0,0,0,1
2007,2500,109,1,0,4.8,155000,0,1,0,0,0,0,3
2007,2999,101,1,1,6.7,187000,0,1,0,0,0,0,1
2007,3490,101,1,1,6.7,127233,0,1,0,0,0,0,3
2007,2490,101,1,1,6.7,181857,0,1,0,0,0,0,1
2007,2000,101,1,1,6.7,225000,0,1,0,0,0,0,1
2007,3499,109,1,0,4.8,179000,0,1,0,0,0,0,1
2007,4300,101,1,1,6.7,132670,0,1,0,0,0,0,3
2007,700,90,1,0,4.7,360000,0,1,0,0,0,0,1
2007,6990,136,1,0,5.8,97500,0,1,0,0,0,0,3
2007,4000,109,1,0,4.8,165000,0,1,0,0,0,0,3
2007,2990,109,1,0,4.8,222000,0,1,0,0,0,0,1
2007,1440,101,1,1,6.7,200000,0,1,0,0,0,0,1
2007,2350,101,1,1,6.7,258500,0,1,0,0,0,0,1
2007,3990,80,1,1,6.6,163700,0,1,0,0,0,0,3
2007,1499,125,1,1,7,247000,0,1,0,0,0,0,1
2007,1250,109,1,0,4.8,228736,0,1,0,0,0,0,1
2007,1250,101,1,1,6.7,200000,0,1,0,0,0,0,1
2007,2790,101,1,1,5.2,136500,0,1,0,0,0,0,3
2008,4299,125,1,1,7,125000,1,0,0,0,0,0,3
2008,5200,101,1,1,6.7,93000,1,0,0,0,0,0,3
2008,6490,101,1,1,6.7,69400,1,0,0,0,0,0,2
2008,6799,101,1,1,6.7,44600,1,0,0,0,0,0,2
2008,3200,101,1,1,6.7,190375,1,0,0,0,0,0,1
2008,7999,101,0,1,7.7,80000,1,0,0,0,0,0,2
2008,5500,101,1,1,6.7,140000,1,0,0,0,0,0,3
2008,2700,109,1,0,4.3,257578,1,0,0,0,0,0,1
2008,4499,101,1,1,6.7,136300,1,0,0,0,0,0,3
2008,2200,101,1,1,6.7,140000,1,0,0,0,0,0,3
2008,5099,101,1,1,6.7,119980,1,0,0,0,0,0,3
