,해양수산부문 국가 온실가스 배출량 산정결과(1990-2016),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1. 기간 : ,1990 ~ 2016년,,,,,,,,,,,,,,,,
,2. 단위 :,Gg CO2,,,,,,,,,,,,,,,,
,3. 산정방법 : ,[Gg CO2eq] = [Gg CO2] + [Gg CH4]ⅹ21 + [Gg N2O]ⅹ310,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,년도,CRF code,배출원, 합계 ,휘발유,실내등유,보일러등유,경유,경질중유,중유,방카C유,JETA-1,프로판,부탄,윤활유,기타제품,부생연료유1호,부생연료유2호
,,,어업," 3,966.44 ", 166.55 , 4.32 , - ," 3,271.09 ", 301.66 , 14.88 , 118.69 , 0.41 , 1.07 , 0.45 , - , 87.34 , - , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,1999,1.A.3.d.,  국내해운," 2,058.57 ", 1.53 , 10.84 , - ," 1,356.37 ", 302.88 , 100.47 , 281.43 , - , 5.00 , 0.04 , - , - , - , - 
,,1.C.b.,  국제해운," 33,701.87 ", 0.01 , 0.27 , - ," 4,570.11 ", 505.78 , 92.74 ," 28,529.59 ", - , 3.31 , 0.07 , - , - , - , - 
,,,어업," 3,505.64 ", 216.57 , 3.01 , - ," 2,941.79 ", 201.34 , 13.88 , 122.80 , 0.40 , 4.82 , 1.02 , - , - , - , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2000,1.A.3.d.,  국내해운," 2,750.05 ", 0.02 , 9.14 , - ," 1,037.12 ", 290.23 , 89.62 ," 1,322.67 ", - , 1.19 , 0.06 , - , - , - , - 
,,1.C.b.,  국제해운," 31,168.00 ", - , 0.06 , - ," 3,445.49 ", 579.48 , 1.26 ," 27,141.68 ", - , 0.03 , - , - , - , - , - 
,,,어업," 3,749.74 ", 271.95 , 1.64 , - ," 3,116.00 ", 219.13 , 11.68 , 125.33 , - , 1.47 , 2.55 , - , - , - , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2001,1.A.3.d.,  국내해운," 2,497.89 ", 2.29 , 4.59 , - , 637.72 , 244.22 , 84.96 ," 1,520.29 ", - , 1.29 , 0.00 , - , - , - , 2.52 
,,1.C.b.,  국제해운," 29,918.94 ", 0.99 , 0.12 , - ," 3,364.25 ", 226.88 , 1.13 ," 26,325.53 ", - , - , 0.05 , - , - , - , - 
,,,어업," 4,148.17 ", 303.81 , 2.44 , - ," 3,449.78 ", 250.42 , 15.56 , 124.32 , - , 0.37 , 1.46 , - , - , - , - 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2002,1.A.3.d.,  국내해운," 2,901.45 ", 0.13 , 10.41 , - , 827.92 , 244.83 , 101.19 ," 1,709.42 ", - , 1.79 , 0.03 , - , - , 0.71 , 5.02 
,,1.C.b.,  국제해운," 28,961.57 ", 0.31 , 3.12 , - ," 3,273.50 ", 170.22 , 4.38 ," 25,508.21 ", - , 0.89 , 0.92 , - , - , - , - 
,,,어업," 4,106.06 ", 336.40 , 5.47 , - ," 3,411.30 ", 213.35 , 18.03 , 117.70 , - , 2.14 , 1.57 , - , - , 0.07 , 0.02 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2003,1.A.3.d.,  국내해운," 3,020.72 ", 0.42 , 2.19 , - , 849.25 , 255.81 , 103.69 ," 1,805.79 ", - , 1.67 , 0.03 , - , - , 0.11 , 1.76 
,,1.C.b.,  국제해운," 31,137.73 ", 2.23 , 1.42 , - ," 3,411.26 ", 124.83 , 1.68 ," 27,595.58 ", - , 0.66 , 0.03 , - , - , 0.01 , 0.02 
,,,어업," 3,976.00 ", 315.11 , 1.02 , - ," 3,309.26 ", 203.62 , 19.63 , 124.61 , - , 1.96 , 0.58 , - , - , 0.08 , 0.13 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2004,1.A.3.d.,  국내해운," 2,877.79 ", 0.00 , 2.10 , - , 836.32 , 241.65 , 86.98 ," 1,709.23 ", - , 1.47 , 0.03 , - , - , - , - 
,,1.C.b.,  국제해운," 32,294.37 ", 0.37 , 1.55 , - ," 3,427.09 ", 218.88 , 8.43 ," 28,637.39 ", - , 0.61 , 0.03 , - , - , 0.03 , - 
,,,어업," 3,709.15 ", 301.11 , 0.50 , - ," 3,069.93 ", 199.91 , 17.74 , 117.22 , - , 1.76 , 0.23 , - , - , 0.47 , 0.29 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2005,1.A.3.d.,  국내해운," 2,775.25 ", - , 0.78 , - , 733.38 , 257.28 , 99.64 ," 1,682.80 ", - , 1.31 , - , - , - , 0.05 , - 
,,1.C.b.,  국제해운," 32,333.72 ", - , 0.64 , - ," 2,951.39 ", 249.93 , 6.91 ," 29,124.85 ", - , - , - , - , - , - , - 
,,,어업," 3,359.04 ", 302.25 , 0.31 , - ," 2,761.46 ", 182.43 , 16.82 , 92.07 , - , 1.95 , 0.26 , - , - , 0.81 , 0.68 
,,,기타, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
,2006,1.A.3.d.,  국내해운," 2,680.43 ", 0.82 , 0.21 , - , 797.86 , 349.38 , 108.91 ," 1,422.37 ", - , 0.79 , - , - , - , 0.07 , - 
